Book_title,Book_author,Book_length
Forgotten Desires,Corinne Michaels,Length: 9 hrs and 8 mins
Emperor's End,Kyle Kirrin,Length: 16 hrs and 18 mins
Bog Standard Isekai: Scarred,Miles English,Length: 18 hrs
I Can't Even,Lani Lynn Vale,Length: 6 hrs and 26 mins
Disconnect,Traci Hunter Abramson,Length: 9 hrs and 47 mins
God of War,Rina Kent,Length: 15 hrs
"Rise of the Weakest Summoner, Volume IX",J.R. Saileri,Length: 19 hrs
Wrathful Mortals,"Caroline Peckham,Susanne Valenti",Length: 11 hrs and 13 mins
Mystery Magnet,Gregory Ashe,Length: 5 hrs and 53 mins
Graves,Katelyn Taylor,Length: 10 hrs and 35 mins
Viper,Suzanne Wright,Length: 10 hrs
Entrances and Exits,"Michael Richards,Jerry Seinfeld - foreword",Length: 15 hrs and 14 mins
The Knight,Will Wight,Length: Not Yet Known
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 36 mins
My Dark Beast,Olivia Wildenstein,Length: 18 hrs and 17 mins
Death Rocks,LJ Ross,Length: 6 hrs
Crossroads,Devney Perry,Length: 8 hrs and 46 mins
A Leaner Meaner Midlife,Robyn Peterman,Length: 4 hrs and 25 mins
How Leaders Learn,"David Novak,Lari Bishop - contributor",Length: 7 hrs
The Trump Prophecies: Updated and Expanded,Mark Taylor,Length: 7 hrs and 17 mins
It Was You All Along,Russ,Length: 1 hr and 40 mins
Late Admissions,Glenn Loury,Length: 18 hrs and 27 mins
Why I Hate Everything,Margaret Weber,Length: 6 hrs and 43 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Enemy A(n)t the Gates,RinoZ,Length: 20 hrs and 49 mins
Will Leave the Galaxy for Good,Yahtzee Croshaw,Length: 9 hrs and 50 mins
Gay the Pray Away,Natalie Naudus,Length: 7 hrs and 12 mins
Transcending Dreams,S. C. King,Length: 26 hrs and 20 mins
Fate of the Sun King,Nisha J. Tuli,Length: 15 hrs and 30 mins
Bloodline: The Root of All Evil,ThinkTwice,Length: 22 hrs and 48 mins
Olive You to Death,Lynn Cahoon,Length: 6 hrs and 51 mins
Bonded in Death,J. D. Robb,Length: 10 hrs and 30 mins
Nemesis,Gregg Hurwitz,Length: 15 hrs
The Comfort of Ghosts,Jacqueline Winspear,Length: 10 hrs and 6 mins
Scavengers,Brian J. Nordon,Length: 18 hrs and 53 mins
Leather & Lark,Brynne Weaver,Length: 12 hrs and 15 mins
The Legend of Randidly Ghosthound 8,"Noret Flood,puddles4263",Length: 29 hrs and 7 mins
One Deadly Eye,Randy Wayne White,Length: 9 hrs and 41 mins
Atticus,Taylor Rylan,Length: 7 hrs and 50 mins
Summer Romance,Annabel Monaghan,Length: 8 hrs and 27 mins
Small Town Horror,Ronald Malfi,Length: 10 hrs and 50 mins
Dark Wire,Joseph Cox,Length: 11 hrs and 40 mins
Crystal Core,David Burke,Length: 14 hrs and 36 mins
The Unwanted Wife,L. Steele,Length: 10 hrs and 48 mins
Shelterwood,Lisa Wingate,Length: 14 hrs and 2 mins
Paladin's Faith,T. Kingfisher,Length: 16 hrs and 19 mins
The Unwedding,Ally Condie,Length: 10 hrs and 57 mins
Apostles of Mercy,Lindsay Ellis,Length: 16 hrs and 19 mins
The War on Warriors,Pete Hegseth,Length: 8 hrs and 10 mins
Throne World,B.V. Larson,Length: 12 hrs and 29 mins
Stuart Woods' Smolder,Brett Battles,Length: 8 hrs and 40 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
Esnob [Snob],Elísabet Benavent,Length: 17 hrs and 37 mins
Restoration,Tate James,Length: 8 hrs and 12 mins
The Vampire and the Case of the Baleful Banshee,"Heather G. Harris,Jilleen Dolbeare",Length: 8 hrs and 3 mins
"Farewell, Amethystine",Walter Mosley,Length: 9 hrs and 8 mins
Lies I Taught in Medical School,Robert Lufkin MD,Length: 8 hrs and 6 mins
Dungeon Diving 201,Bruce Sentar,Length: 11 hrs and 41 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Length: 30 hrs and 8 mins
Lethal Vows,"Kia Carrington-Russell,T.L. Smith",Length: 7 hrs and 35 mins
Amazon Apocalypse 2,Marvin Knight,Length: 25 hrs and 35 mins
7 Detrimental Mistakes After a Toxic Relationship,Lov Light,Length: 3 hrs and 23 mins
Fantastic Fungi,Paul Stamets,Length: 5 hrs and 20 mins
There Is No Ethan,Anna Akbari,Length: 9 hrs and 57 mins
Fondant Fumble,Jenn McKinlay,Length: 6 hrs and 45 mins
Iron Fist: Star Wars Legends (Wraith Squadron),Aaron Allston,Length: 13 hrs and 6 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
Confidence,Ethan Nichtern,Length: 6 hrs and 56 mins
The Crimson Chase,Cap Daniels,Length: 9 hrs and 8 mins
Swan Song,Elin Hilderbrand,Length: 13 hrs and 39 mins
Self-Made Man,Norah Vincent,Length: 9 hrs and 6 mins
The Cycle of Galand,Edward W. Robertson,Length: 26 hrs and 49 mins
I Shouldn’t Be Telling You This,Chelsea Devantez,Length: 8 hrs and 54 mins
Warrior King,Wilbur Smith,Length: 14 hrs and 11 mins
Sagewood: Restore the Farm,"Blake Arthur Peel,Kimberly Ann Peel",Length: 11 hrs and 16 mins
Taking Ground,John Van Stry,Length: 9 hrs and 40 mins
Wind and Truth,Brandon Sanderson,Length: 55 hrs
Tax-Free Wealth,"Tom Wheelwright CPA,Robert Kiyosaki - foreword",Length: 8 hrs and 50 mins
Love Life and Lose Weight,Heather V. Beardsley,Length: 3 hrs and 35 mins
Tom Clancy Defense Protocol,"Brian Andrews,Jeffrey Wilson",Length: 15 hrs
Service Model,Adrian Tchaikovsky,Length: 12 hrs and 21 mins
Onyx Storm,Rebecca Yarros,Length: 14 hrs and 15 mins
Mob Sorcery 2,K.D. Robertson,Length: 15 hrs and 52 mins
The Fall of Roe,"Elizabeth Dias,Lisa Lerer",Length: 15 hrs and 39 mins
Swift River,Essie Chambers,Length: 10 hrs and 17 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs
The Devil's Lair,Penny Dee,Length: 8 hrs and 40 mins
The Obesity Code Cookbook,Dr. Jason Fung,Length: 4 hrs and 38 mins
The Legend of Randidly Ghosthound 7,"Noret Flood,puddles4263",Length: 27 hrs and 53 mins
"Right Thing, Right Now",Ryan Holiday,Length: 7 hrs and 59 mins
Wild Scottish Beauty,Tricia O'Malley,Length: 9 hrs and 5 mins
It's Not Like Being Black,Voddie T. Baucham Jr.,Length: 5 hrs and 42 mins
When the Sea Came Alive,Garrett M. Graff,Length: 19 hrs and 33 mins
In the Shadows,"Mickey Bergman,Ellis Henican",Length: 10 hrs and 14 mins
The Chosen: Upon This Rock,Jerry B. Jenkins,Length: 8 hrs and 48 mins
Indaria,SunriseCV,Length: 13 hrs and 57 mins
The Witch of Webs,pirateaba,Length: 47 hrs and 18 mins
"Heretical Fishing 2: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Length: 25 hrs and 4 mins
To Be Loved,Frank G. Anderson MD,Length: 10 hrs and 46 mins
Such a Bad Influence,Olivia Muenter,Length: 12 hrs and 46 mins
Makai,Grey Huffington,Length: 9 hrs and 22 mins
Heavy Is the Crown,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 5 mins
Not in Love,Ali Hazelwood,Length: 11 hrs and 55 mins
Sanctuary,Stacey Reynolds,Length: 11 hrs and 59 mins
The Stranger in the Library,Eva Gates,Length: 9 hrs and 5 mins
The Light of Battle,Michel Paradis,Length: 16 hrs and 43 mins
Keem & Tasia,K.C. Mills,Length: 15 hrs and 20 mins
The Fury of the Gods,John Gwynne,Length: 15 hrs
Malas,Marcela Fuentes,Length: 12 hrs and 30 mins
What It Takes to Heal,Prentis Hemphill,Length: 6 hrs and 13 mins
I Don't Want to Go Home,Nick Corasaniti,Length: 11 hrs and 11 mins
For the Love of Summer,Susan Mallery,Length: 11 hrs and 58 mins
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 11 hrs
Dark Lord: Star Wars Legends,James Luceno,Length: 14 hrs
The Seaside Sisters,Pamela M. Kelley,Length: 8 hrs and 22 mins
False Start,Kandi Steiner,Length: 10 hrs and 59 mins
Passions in Death,J. D. Robb,Length: 12 hrs and 51 mins
Beyond the Isle of the Lost,Melissa de la Cruz,Length: 6 hrs and 34 mins
Modern Friendship,Anna Goldfarb,Length: 8 hrs and 13 mins
A Death in Cornwall,Daniel Silva,Length: 10 hrs and 15 mins
Ambition Monster,Jennifer Romolini,Length: 9 hrs and 32 mins
Forgotten,M. Sinclair,Length: 6 hrs and 57 mins
The Laws of Connection,David Robson,Length: 9 hrs and 29 mins
The Art of Laziness,Library Mindset,Length: 1 hr and 56 mins
Earl,Ed Nelson,Length: 6 hrs and 1 min
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs and 30 mins
A Botanist's Guide to Society and Secrets,Kate Khavari,Length: 12 hrs and 6 mins
Dungeon Revenant,Jay Aury,Length: 10 hrs and 38 mins
The Healer's Way,"Oleg Sapphire,Alexey Kovtunov,Jennifer E. Sunseri - translator",Length: 8 hrs and 36 mins
Now or Never,Janet Evanovich,Length: 8 hrs
Sterling Streak,L.B. Dunbar,Length: 9 hrs and 59 mins
Miss May Does Not Exist,Carrie Courogen,Length: 13 hrs and 54 mins
Runaway Omega,Ember L. Nicole,Length: 16 hrs and 35 mins
The Butcher Game,Alaina Urquhart,Length: Not Yet Known
Shameless,Brian Tyler Cohen,Length: 5 hrs
Codename Nemo,Charles Lachman,Length: 10 hrs and 42 mins
Renewal: A LitRPG Progression Fantasy,J. L. Rabone,Length: 17 hrs and 32 mins
Murder at an English Séance,Jessica Ellicott,Length: 9 hrs and 45 mins
Foundations of Glass,"J.N. Chaney,Terry Maggert",Length: 12 hrs and 24 mins
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs
May Contain Lies,Alex Edmans,Length: 8 hrs and 33 mins
Metabolism Repair for Women,Lara Briden,Length: 11 hrs and 1 min
Middle of the Night,Riley Sager,Length: 11 hrs and 22 mins
Dungeon Heroes 5,"Shane Hammond,Marcus Sloss",Length: 10 hrs and 59 mins
The Mirror,Nora Roberts,Length: 14 hrs and 24 mins
Jake's Magical Market 3,J.R. Mathews,Length: 36 hrs and 21 mins
Fall with Me,Becka Mack,Length: 16 hrs and 21 mins
Mirrored Heavens,Rebecca Roanhorse,Length: 19 hrs and 42 mins
Tress of the Emerald Sea,Brandon Sanderson,Length: 12 hrs and 27 mins
One,Paulina Ian-Kane,Length: 8 hrs and 18 mins
The Child Monster: A LitRPG Adventure,V.A. Lewis,Length: 10 hrs and 49 mins
Ember,"Jeffrey Wilson,Brian Andrews",Length: 14 hrs
Dark Calories,Catherine Shanahan MD,Length: 11 hrs and 50 mins
When Women Ran Fifth Avenue,Julie Satow,Length: 10 hrs and 9 mins
Tracks,Louise Erdrich,Length: 7 hrs and 2 mins
Red Sky Mourning,Jack Carr,Length: 15 hrs and 28 mins
Holding It Together,Jessica Calarco,Length: 8 hrs and 32 mins
LastRock,Phil Tucker,Length: 26 hrs and 3 mins
The Hidden History of the White House,Corey Mead,Length: 8 hrs and 45 mins
The Wren in the Holly Library,K.A. Linde,Length: 15 hrs and 16 mins
Recon,Craig Alanson,Length: 16 hrs and 26 mins
12 Miles Below III: Grand Design,Mark Arrows,Length: 17 hrs and 18 mins
Enchanting Exposition,Alice Winters,Length: 8 hrs and 43 mins
The Road to the Country,Chigozie Obioma,Length: 13 hrs and 47 mins
How to Love Someone Without Losing Your Mind,Todd Baratz LMHC,Length: 6 hrs and 55 mins
Conflict of Duty,James Chandler,Length: 9 hrs and 47 mins
Liberalism as a Way of Life,Alexandre Lefebvre,Length: 8 hrs and 11 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 18 hrs and 53 mins
A Dog Named Mattis,Mark Tappan,Length: 4 hrs and 31 mins
Birds Aren't Real,"Peter McIndoe,Connor Gaydos",Length: 3 hrs and 50 mins
The Comprehensive Guide to Wall Pilates for Seniors,"Katherine Harmeen,John Ok",Length: 3 hrs and 49 mins
Just Some Stupid Love Story,Katelyn Doyle,Length: 10 hrs and 31 mins
Out for Blood,Ryan Steck,Length: 10 hrs and 52 mins
AI Prosperity Blueprint,Julio D. Velez,Length: 3 hrs and 37 mins
Hell Difficulty Tutorial,Cerim,Length: 18 hrs and 34 mins
Life Is Funny Until It's Not,Chonda Pierce,Length: 8 hrs and 38 mins
A Drop in Forever,Dulcie Dameron,Length: 8 hrs and 54 mins
Sing Like Fish,Amorina Kingdon,Length: 8 hrs and 50 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
Coven King 1,"Virgil Knightley,Edgar Riggs",Length: 10 hrs and 52 mins
All the Summers in Between,Brooke Lea Foster,Length: 11 hrs and 27 mins
Demonic Devourer: Book 3,Aaron Shih,Length: 15 hrs and 35 mins
A Perfect Spy,John Le Carré,Length: 19 hrs and 56 mins
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Length: 14 hrs and 26 mins
The Woman by the Lake,Kristen Ashley,Length: 13 hrs and 1 min
The Midnight Feast,Lucy Foley,Length: 10 hrs and 20 mins
"Unintended Cultivator, Volume 2",Eric Dontigney,Length: 12 hrs and 42 mins
Recon,Craig Alanson,Length: 16 hrs and 26 mins
12 Miles Below III: Grand Design,Mark Arrows,Length: 17 hrs and 18 mins
Enchanting Exposition,Alice Winters,Length: 8 hrs and 43 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 17 hrs and 3 mins
The Road to the Country,Chigozie Obioma,Length: 13 hrs and 47 mins
Prince and Betrothed,Tavia Lark,Length: 8 hrs and 6 mins
How to Love Someone Without Losing Your Mind,Todd Baratz LMHC,Length: 6 hrs and 55 mins
Conflict of Duty,James Chandler,Length: 9 hrs and 47 mins
Winter Lost,Patricia Briggs,Length: 11 hrs and 15 mins
Liberalism as a Way of Life,Alexandre Lefebvre,Length: 8 hrs and 11 mins
You Like It Darker,Stephen King,Length: 20 hrs and 12 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 18 hrs and 53 mins
A Dog Named Mattis,Mark Tappan,Length: 4 hrs and 31 mins
My Royal Showmance,Lexi Blake,Length: 11 hrs and 10 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 12 hrs
Birds Aren't Real,"Peter McIndoe,Connor Gaydos",Length: 3 hrs and 50 mins
The Comprehensive Guide to Wall Pilates for Seniors,"Katherine Harmeen,John Ok",Length: 3 hrs and 49 mins
Just Some Stupid Love Story,Katelyn Doyle,Length: 10 hrs and 31 mins
Finding Radical Wholeness,Ken Wilber,Length: 17 hrs and 16 mins
Out for Blood,Ryan Steck,Length: 10 hrs and 52 mins
It Breaks Me,Penelope Sky,Length: 6 hrs and 38 mins
AI Prosperity Blueprint,Julio D. Velez,Length: 3 hrs and 37 mins
Hell Difficulty Tutorial,Cerim,Length: 18 hrs and 34 mins
Roswell Johnson Saves the World!,Chris Colfer,Length: 9 hrs and 9 mins
Life Is Funny Until It's Not,Chonda Pierce,Length: 8 hrs and 38 mins
A Drop in Forever,Dulcie Dameron,Length: 8 hrs and 54 mins
Sherwood Forest Shifters: Three Book Collection,Anna Lowe,Length: 18 hrs and 34 mins
Sing Like Fish,Amorina Kingdon,Length: 8 hrs and 50 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
When You Smile,Melissa Brayden,Length: 10 hrs and 56 mins
Coven King 1,"Virgil Knightley,Edgar Riggs",Length: 10 hrs and 52 mins
Clete,James Lee Burke,Length: 9 hrs and 20 mins
Same as It Ever Was,Claire Lombardo,Length: Not Yet Known
Cold King of New York,Siobhan Davis,Length: 8 hrs and 56 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 24 hrs
"Avatar, the Last Airbender: The Reckoning of Roku",Randy Ribay,Length: 10 hrs and 30 mins
Switch On Your Brain Every Day,Dr. Caroline Leaf,Length: 9 hrs and 36 mins
Tom Clancy Act of Defiance,"Brian Andrews,Jeffrey Wilson",Length: 17 hrs and 1 min
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 14 hrs and 26 mins
Path of the Berserker 2: A Daopocalypse Progression Fantasy,Rick Scott,Length: 23 hrs and 6 mins
Imperial Entanglements: A Humorous Isekai LitRPG,Icalos,Length: 14 hrs and 1 min
The Ever Queen,LJ Andrews,Length: 13 hrs and 9 mins
The Sunlit Man,Brandon Sanderson,Length: 11 hrs and 11 mins
Birding with Benefits,Sarah T. Dubb,Length: 9 hrs and 57 mins
Love Your Enemies: 10th Anniversary Edition,"Sharon Salzberg,Robert Thurman",Length: 6 hrs and 59 mins
Shadow of Doubt,Brad Thor,Length: 11 hrs and 30 mins
Pulse,Adriana Locke,Length: 6 hrs and 1 min
This Is Why You Dream,Rahul Jandial MD PhD,Length: 6 hrs and 11 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
A Few Against Many,Ryk Brown,Length: 7 hrs and 49 mins
The Waiting,Michael Connelly,Length: 12 hrs
Threads of Destiny: Volume 3,Yrsillar,Length: 12 hrs and 18 mins
God Emperor of Dune,Frank Herbert,Length: 15 hrs and 48 mins
"Magic Kingdom at War, Book 1",Tao Wong,Length: 2 hrs and 52 mins
Children of Anguish and Anarchy,Tomi Adeyemi,Length: 10 hrs and 2 mins
Frigid Magic,Bruce Sentar,Length: 16 hrs and 30 mins
The Mercy of Gods,James S.A. Corey,Length: 18 hrs and 30 mins
Watch with Me,Wendell Berry,Length: 4 hrs and 50 mins
Tell Me Who You Are,Louisa Luna,Length: 10 hrs and 47 mins
Fates Entwined,Elizabeth Briggs,Length: 14 hrs and 44 mins
The Dreamweaver Series: Books One to Three,Helen Harper,Length: 21 hrs and 49 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
Fur Love or Money,Sofie Ryan,Length: 7 hrs and 26 mins
When Ben Loved Tim,Jay Bell,Length: 13 hrs and 7 mins
Strong and Wild,Sloane St. James,Length: 10 hrs and 2 mins
Brain Storm,Cat Gilbert,Length: 13 hrs and 50 mins
His Family Objects: A Pride and Prejudice Variation,Lucy Marin,Length: 9 hrs and 13 mins
"Eskau: An Unplanned Infiltration, Progression Fantasy",J.L. Mullins,Length: 27 hrs and 40 mins
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Length: 20 hrs and 54 mins
Legal Affairs of the Khul’u,Muhammad Taqi al-Deen al-Hilali,Length: 3 hrs and 10 mins
The Elder Lands: A Kingdom Building LitRPG,B. Salem,Length: 15 hrs and 5 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Same Difference,E. J. Copperman,Length: 8 hrs and 44 mins
Reckless,Lauren Roberts,Length: 11 hrs
A Calamity of Souls,David Baldacci,Length: 14 hrs and 28 mins
Corviticus University: Revelations,J.E. Cluney,Length: 8 hrs and 47 mins
The Package,Sebastian Fitzek,Length: 6 hrs and 37 mins
The Necromancer's End: An Epic Fantasy Adventure,Jack Pembroke,Length: 14 hrs and 7 mins
